City,Population,Lat,Long
Aachen,252136,50.7753,6.0839
Aalen,68816,48.8367,10.0971
Achern,26471,48.6266,8.0749
Achim,32752,53.0092,9.0510
Ahaus,40245,52.0825,7.0150
Ahlen,53348,51.7601,7.8973
Ahrensburg,34509,53.6764,10.2379
Aichach,21908,48.4577,11.1360
Albstadt,46422,48.2137,9.0234
Alfter,23904,50.7380,7.0107
Alsdorf,48328,50.8716,6.1648
Altenburg,31315,50.9931,12.4367
Amberg,42534,49.4403,11.8633
Andernach,30277,50.4261,7.4087
Ansbach,42221,49.3004,10.5719
Apolda,23072,51.0260,11.5155
Arnsberg,74323,51.4073,8.0528
Arnstadt,28124,50.8409,10.9505
Aschaffenburg,72444,49.9807,9.1356
Aschersleben,26604,51.7591,11.4619
Attendorn,24448,51.1314,7.9049
Augsburg,301033,48.3705,10.8978
Aurich,42970,53.4708,7.4848
Backnang,37957,48.9471,9.4342
Bad Harzburg,21738,51.8867,10.5522
Bad Hersfeld,30652,50.8701,9.7020
Bad Homburg vor der Höhe,54996,50.2268,8.6182
Bad Honnef,26061,50.6426,7.2262
Bad Kissingen,23037,50.2007,10.0804
Bad Kreuznach,52529,49.8440,7.8731
Bad Krozingen,21684,47.9161,7.7003
Bad Mergentheim,24564,49.4885,9.7704
Bad Nauheim,33445,50.3673,8.7394
Bad Neuenahr-Ahrweiler,26669,50.5418,7.1197
Bad Oeynhausen,49477,52.2085,8.8010
Bad Oldesloe,24935,53.8076,10.3823
Bad Rappenau,22356,49.2402,9.1020
Bad Salzuflen,54808,52.0765,8.7556
Bad Salzungen,23013,50.8104,10.2322
Bad Schwartau,20255,53.9163,10.6854
Bad Soden am Taunus,23162,50.1461,8.4986
Bad Vilbel,35758,50.1823,8.7395
Bad Waldsee,20630,47.9227,9.7533
Bad Zwischenahn,29803,53.1814,8.0099
Baden-Baden,57025,48.7656,8.2285
Baesweiler,27620,50.9063,6.1825
Balingen,34945,48.2748,8.8495
Bamberg,79935,49.8988,10.9028
Barsinghausen,35156,52.3021,9.4694
Baunatal,28339,51.2537,9.4146
Bautzen,38140,51.1823,14.4238
Bayreuth,74506,49.9456,11.5713
Beckum,37333,51.7562,8.0426
Bedburg,24302,50.9893,6.5712
Bensheim,42089,49.6861,8.6187
Bergheim,62376,50.9452,6.6555
Bergisch Gladbach,112712,50.9923,7.1286
Bergkamen,49263,51.6158,7.6430
Berlin,3755251,52.5162,13.3777
Bernau bei Berlin,43685,52.6875,13.5673
Bernburg,32261,51.7834,11.7537
Biberach an der Riß,34008,48.1,9.783
Bielefeld,338332,52.0302,8.5325
Bietigheim-Bissingen,43755,48.9472,9.1305
Bingen am Rhein,26309,49.9667,7.9046
Bitterfeld-Wolfen,37894,51.6246,12.3080
Blankenfelde-Mahlow,29159,52.3481,13.4036
Blieskastel,20240,49.2423,7.2546
Bocholt,71930,51.8384,6.6151
Bochum,365742,51.4818,7.2162
Bonn,336465,50.7374,7.0982
Borken,43489,51.8483,6.8594
Bornheim,49025,50.7596,6.9821
Bottrop,118113,51.5291,6.9447
Bramsche,32179,52.4077,8.0016
Brandenburg an der Havel,73609,52.413,12.552
Braunschweig,251804,52.2689,10.5268
Bremen,569396,53.0793,8.8017
Bremerhaven,115468,53.5396,8.5809
Bretten,30073,49.0363,8.7011
Brilon,25511,51.3982,8.5749
Bruchköbel,20825,50.1825,8.9231
Bruchsal,46587,49.1250,8.5844
Brühl,44804,50.8268,6.8988
Buchholz in der Nordheide,40810,53.3177,9.8695
Burg,22689,52.2709,11.8554
Burgdorf,31287,52.4470,10.0056
Burgwedel,20506,52.5012,9.8974
Butzbach,27402,50.4350,8.6688
Buxtehude,40919,53.4675,9.6916
Böblingen,51460,48.6813,9.0088
Büdingen,22622,50.2863,9.1114
Bühl,29133,48.6955,8.1381
Bünde,46030,52.1982,8.5832
Büren,21483,51.5509,8.5598
Calw,24219,48.7122,8.7472
Castrop-Rauxel,73795,51.5633,7.3150
Celle,70138,52.6176,10.0629
Chemnitz,248563,50.8278,12.9214
Cloppenburg,37056,52.8442,8.0530
Coburg,41842,50.2612,10.9627
Coesfeld,37030,51.9383,7.1676
Coswig,20512,51.1305,13.5779
Cottbus,99515,51.7563,14.3329
Crailsheim,35760,49.1337,10.0634
Cuxhaven,48562,53.8593,8.6879
Dachau,48195,48.2630,11.4339
Darmstadt,162243,49.8728,8.6512
Datteln,35191,51.6461,7.3348
Deggendorf,35172,48.8409,12.9575
Delbrück,32774,51.7651,8.5621
Delitzsch,25244,51.5256,12.3381
Delmenhorst,78385,53.0522,8.6356
Dessau-Roßlau,79655,51.8428,12.2304
Detmold,75089,51.9385,8.8686
Dietzenbach,34928,50.0173,8.7870
Dillenburg,23480,50.7453,8.2808
Dingolfing,20607,48.6435,12.4852
Dinslaken,67762,51.5674,6.7475
Ditzingen,25145,48.8265,9.0676
Donaueschingen,22431,47.9522,8.4979
Dormagen,65147,51.0937,6.8289
Dorsten,76720,51.6560,6.9643
Dortmund,593317,51.5136,7.4653
Dreieich,42260,50.0295,8.6949
Dresden,563311,51.0504,13.7373
Duderstadt,20286,51.5097,10.2535
Duisburg,502211,51.4344,6.7623
Döbeln,23763,51.1229,13.1167
Dülmen,47468,51.8316,7.2835
Düren,93207,50.8030,6.4811
Düsseldorf,629047,51.2277,6.7735
Eberswalde,41461,52.8371,13.7876
Eckernförde,21507,54.4689,9.8384
Edewecht,22908,53.1262,7.9830
Ehingen,27276,48.2929,9.6612
Einbeck,30728,51.8206,9.8683
Eisenach,42408,50.9796,10.3147
Eisenhüttenstadt,24125,52.1437,14.6419
Eislingen/Fils,21745,48.7023,9.7120
Ellwangen,25678,48.9627,10.1302
Elmshorn,50772,53.7514,9.6633
Elsdorf,22021,50.9392,6.5635
Emden,50535,53.3594,7.2060
Emmendingen,28856,48.1171,7.8539
Emmerich am Rhein,31544,51.8396,6.2517
Emsdetten,36354,52.1682,7.5311
Enger,20705,52.1394,8.5583
Ennepetal,30652,51.3001,7.3613
Eppingen,22226,49.1380,8.9092
Erding,36813,48.3115,11.9189
Erftstadt,49882,50.7948,6.7775
Erfurt,214969,50.9848,11.0299
Erkelenz,44215,51.0785,6.3159
Erkrath,43856,51.2213,6.9073
Erlangen,116562,49.5897,11.0120
Eschborn,22070,50.1467,8.5615
Eschweiler,56049,50.8107,6.2631
