Jahr,CDU/CSU,SPD,FDP,Grüne,Linke,AfD,Sonstige
1949,185,175,71,0,0,0,167
1953,270,172,57,0,0,0,99
1957,300,190,46,0,0,0,62
1961,271,216,77,0,0,0,34
1965,295,244,59,0,0,0,0
1969,276,255,35,0,0,0,32
1972,271,276,51,0,0,0,0
1976,293,257,48,0,0,0,0
1980,272,262,65,0,0,0,0
1983,293,229,42,34,0,0,0
1987,268,224,55,50,0,0,0
1990,280,214,70,33,0,0,0
1994,269,237,45,47,0,0,0
1998,210,245,37,40,30,0,36
2002,248,248,48,55,0,0,0
2005,219,213,61,50,54,0,0
2009,202,138,87,64,71,0,36
2013,274,170,0,56,57,0,42
2017,197,123,64,53,55,75,31
2021,152,162,72,93,0,65,55
